Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
49250	137	205	29	0	1	0	0	303347	17	1	0	198773	3	120025	0	384850	5	64618	0	52645	220002
49500	175	231	0	0	3	18	0	311735	7	1	0	200484	3	106606	0	382662	5	62105	0	53994	221586
49750	138	349	1	0	4	0	0	317884	4	0	0	205338	3	104164	0	392392	5	59826	0	54406	225542
50000	156	238	0	0	1	0	0	327575	93	10	0	215011	13	109228	0	393439	6	59001	0	52696	223288
50250	223	176	0	0	2	0	0	324115	17	0	0	217455	4	113475	0	396033	7	62470	0	52905	226057
50500	163	184	8	16	3	0	51	340301	47	0	0	204671	2	108806	0	403374	5	59999	0	53606	226065
50750	200	217	1	0	3	0	0	320534	31	0	0	207139	4	106870	0	398231	10	61930	0	54281	226331
51000	201	210	1	0	0	0	0	322307	14	0	0	210520	2	113854	0	405854	5	65133	0	53805	228238
51250	191	177	0	0	2	0	0	330417	19	0	0	208942	3	118885	0	412228	5	64109	0	53903	226754
51500	339	160	2	0	1	0	0	334277	5307	0	0	216153	2	115853	0	400975	21	61834	0	53281	231635
51750	414	164	1	0	2	0	0	329663	0	0	0	210975	3	111489	0	408189	6	64240	0	52665	231133
52000	288	195	0	24	1	0	0	336230	76	22	0	214230	4	118698	0	413617	5	62315	0	56442	231040
52250	231	146	0	0	2	0	0	334188	9	0	0	221737	21	116500	0	412314	6	66011	0	53556	233575
52500	245	155	0	0	13	0	0	332792	134	0	0	219029	5	125497	0	415117	5	68598	0	59335	234685
52750	228	214	0	0	2	0	0	343343	7	2	0	224814	4	122100	28	419614	3273	62932	0	54463	235159
53000	229	182	1	0	0	0	0	343278	4	0	0	222942	7	116560	0	419537	9	66670	0	60504	241002
53250	192	208	0	1	2	0	0	342922	6	0	0	224101	4	118958	0	433302	5	62202	0	55774	238692
53500	181	272	10	0	0	0	0	349704	1	0	0	222373	23	120563	0	468705	5	70803	0	55242	237814
53750	158	235	0	0	3	0	0	353657	13	9	0	229096	5	125887	0	444765	5	68147	0	59085	241531
54000	181	317	0	0	19	0	0	346634	40	0	0	226418	5	125990	0	435610	9	70777	0	61733	248462
54250	171	311	1	0	4	0	0	353436	8	0	0	215867	30	121787	0	433456	5	66967	0	61625	241571
54500	163	440	0	0	0	0	0	354159	1	0	0	223878	4	132978	0	448518	35	68503	0	60654	248259
54750	145	273	1	0	23	0	0	353915	5	0	0	233831	3	125731	0	465652	5	69057	0	58197	245474
55000	176	215	0	0	46	0	0	357344	9	0	0	227578	4	130112	0	448122	5	67815	0	59611	246013
55250	147	201	1	0	2	0	0	358945	3	0	0	231094	1	129957	0	458283	6	72575	0	59117	246427
55500	124	208	0	0	1	0	0	362864	2	0	0	239723	3	130452	0	460633	5	69213	0	60122	247278
55750	219	116	1	0	1	0	0	373186	3	0	0	237636	5	134471	0	461565	4	72421	0	61955	247798
56000	156	135	0	69	1	0	0	365002	101	0	0	229570	3	131759	0	460609	6	76743	0	60630	251313
56250	155	198	1	0	2	1	0	370193	0	0	0	241777	2	133943	0	474584	5	72093	0	62446	253951
56500	241	145	0	0	1	0	0	460579	13	0	0	243285	1	139196	0	464703	5	70512	0	60728	253592
56750	217	166	0	0	0	0	0	368861	4	0	0	230816	6	140648	0	471052	6	72910	0	62389	256941
57000	226	196	0	0	37	0	21	375699	1	0	0	242561	2	141847	0	465733	31	74120	0	66242	265854
57250	207	183	0	0	2	0	0	377034	4	0	0	247383	5	149393	0	478382	9	79689	0	66190	258702
57500	178	157	1	0	2	0	0	377366	1	9	0	248337	3	140564	0	475472	6	71959	0	63517	276709
57750	195	211	0	0	4	0	0	386993	3	0	0	247899	2	145524	0	480182	5	75728	0	64232	258645
58000	198	179	1	0	2	0	0	392379	2	0	0	245016	5	142493	0	483550	4	78695	0	64290	260026
58250	197	204	0	0	1	0	0	381944	9	0	0	254513	6	151629	0	482326	5	78308	0	65255	265247
58500	209	244	0	26	1	0	0	386959	1	0	0	248292	5	150171	0	484255	6	75708	0	65416	262927
58750	174	306	0	0	2	0	0	397323	1	0	0	251648	10	145846	0	496277	5	74935	0	64834	268195
59000	164	299	0	0	2	0	0	393292	3	10	0	257867	9	149722	0	487842	5	75957	0	65321	268506
59250	210	192	1	0	3	33	0	394182	2	0	0	255029	5	145699	0	505038	6	76385	0	66157	266096
59500	210	173	0	0	5	0	0	394318	1	0	0	258848	3	205489	0	500541	5	79991	0	68134	267568
59750	154	194	1	0	3	0	0	394527	12	0	0	277470	1	165418	0	512302	6	77141	0	66710	266980
60000	178	176	1	0	2	0	0	404408	4	35	0	259653	4	159261	0	503884	6	82398	0	67451	267943
60250	235	174	0	0	1	0	9	398056	4	0	0	248494	3	157158	0	499426	5	88421	0	68629	270869
60500	304	213	32	0	0	0	0	398259	1	0	0	264407	2	160769	19	522018	8	81230	0	69685	274020
60750	213	199	0	0	1	0	0	400287	1	47	0	265150	3	160165	0	509261	6	83710	0	90384	281256
61000	233	203	0	3568	2	0	0	405424	5	0	0	260375	3	162714	0	504798	5	84091	0	72005	272101
61250	333	203	0	0	2	0	0	416911	11	0	0	263359	13	166702	0	508700	5	83793	0	77635	273369
61500	217	229	0	0	1	0	0	415115	3	1	0	271803	4	166150	0	526873	6	81898	0	73016	278715
61750	212	225	0	0	13	0	0	415719	45	2	0	264564	3	180406	2	525287	5	86617	0	71298	277783
62000	273	236	0	39	2	0	0	418576	3	3	0	261847	4	171544	0	530687	5	85252	0	70427	278686
62250	219	220	22	0	4	0	0	415364	73	3	0	265020	22	165326	0	530135	5	82137	0	72729	281369
62500	279	245	0	0	2	0	0	414579	19	0	0	271177	6	172055	0	529140	16	84218	0	74985	287685
62750	221	246	0	0	1	9	0	421656	8	0	0	265253	3	184170	0	532284	5	83653	0	73317	293909
63000	226	260	82	0	66	0	0	422809	5	0	0	269337	2	172142	0	532999	7	84796	0	72374	291328
63250	287	247	22	0	9	0	9	424009	3	0	0	273708	1	166432	0	541743	6	123096	0	73738	285473
63500	232	259	0	0	294	0	0	425111	2	0	0	270810	50	180013	19	543321	13	86882	0	76283	290162
63750	276	285	1	0	11	0	0	428877	1	0	0	285278	7	180722	0	546946	10	89837	0	76412	289066
64000	223	161	0	0	8	0	0	430557	12	9	0	274307	5	187002	0	546477	12	88165	0	78949	291173
